"filename", "language", "JSON", "JavaScript", "HTML", "Markdown", "Docker", "Properties", "TypeScript", "TypeScript JSX", "JSON with Comments", "XML", "PostCSS", "comment", "blank", "total"
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/components/CatalogCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 210, 0, 0, 0, 0, 30, 240
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/components/CatalogFilter.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 518, 0, 0, 0, 0, 67, 585
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/components/CategoryCalculator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 268, 0, 0, 0, 0, 21, 289
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/components/PopularProduct.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 117, 0, 0, 0, 0, 12, 129
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Catalog/constants/productInfoContent.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 0, 15, 104
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Compare/ComparePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 293, 0, 0, 0, 0, 24, 317
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Demo/DemoInner.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 77, 0, 0, 0, 0, 27, 104
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Demo/DemoPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 131, 0, 0, 0, 16, 24, 171
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/CertificatesSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 0, 19, 165
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/ContactForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 7, 47
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/ForClients.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 11, 85
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/Hero.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 130, 0, 0, 0, 0, 10, 140
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/IndustryCatalog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 132, 0, 0, 0, 7, 12, 151
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/NewsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 175, 0, 0, 0, 0, 27, 202
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/RepairService.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 140, 0, 0, 0, 11, 21, 172
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/ReviewForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 4, 22, 232
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/ReviewsSection.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 279, 0, 0, 0, 0, 25, 304
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/Service.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 9, 71
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/Warehouse.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 129, 0, 0, 0, 0, 14, 143
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/Components/WhyChooseUs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 9, 68
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Home/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 0, 0, 21, 134
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Production/ProductionPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 291, 0, 0, 0, 0, 25, 316
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Service/ServicePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 199, 0, 0, 0, 4, 27, 230
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Storage/StorageComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Storage/StoragePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 296, 0, 0, 0, 0, 29, 325
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Technologies/InnerTechbologies/InnerTechnologies.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 18, 215
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/pages/Technologies/TechnologiesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 50, 5, 55
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/routes/AppRoutes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 8, 7, 53
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/utils/cartStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 7, 34
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/utils/compareStorage.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 7, 34
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/zustand/EditableImage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 3, 6, 43
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/zustand/ImageEditorModal.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 8, 57
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/zustand/ImageEditorState.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 2, 5, 32
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/zustand/staticImagesApi.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 4, 5, 47
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/src/zustand/useImageUploads.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 4, 9, 45
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/stats.html", "HTML", 0, 0, 138, 0, 0, 0, 0, 0, 0, 0, 0, 4792, 20, 4950
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/tsconfig.app.json", "JSON", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 42
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/tsconfig.node.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 27
"/home/nurgalym/Рабочий стол/Baymir/Baimir/frontend/vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 0, 8, 69
"Total", "-", 8525, 22, 155, 95, 11, 9, 1484, 10980, 11, 94, 126, 5221, 1627, 28360
